,0
A_0_0,1.780271939925921e-07
A_1_0,2.9827243962161334e-06
A_1_1,-1.5003924706301507e-05
B_1_1,-7.508975405419083e-06
A_2_0,-0.00015791814727158658
A_2_1,-1.7693740773089077e-05
B_2_1,-8.419157449491457e-06
A_2_2,1.5801277779838004e-05
B_2_2,8.055903860009096e-06
A_3_0,0.0004789972369357146
A_3_1,-7.442513793315258e-05
B_3_1,-0.001215435662818894
A_3_2,-2.7453153261111016e-05
B_3_2,4.229641426027484e-05
A_3_3,-4.355890768810792e-05
B_3_3,0.00010932866843335528
A_4_0,0.000636823779838827
A_4_1,-0.00028901971306136105
B_4_1,0.0009388958461772414
A_4_2,0.0008208527763616851
B_4_2,-0.00023281688374992082
A_4_3,9.463983558721792e-05
B_4_3,-0.00026575393254631917
A_4_4,0.000151276916104428
B_4_4,-0.0005901871002660749
A_5_0,-0.001781659141330202
A_5_1,-0.003779757514751984
B_5_1,-0.022811792096734416
A_5_2,-0.00248524635249883
B_5_2,-0.00016279679055389523
A_5_3,-0.0005107541179023975
B_5_3,-0.002226973652731602
A_5_4,0.0008877284366757091
B_5_4,-0.0001882233308003121
A_5_5,-0.0017960194682275308
B_5_5,-0.002462005263958548
