,0
A_0_0,-2.832927485537222e-07
A_1_0,-2.8393775903745064e-06
A_1_1,1.5740627461613417e-05
B_1_1,8.473407487622295e-06
A_2_0,0.0001568034488122117
A_2_1,2.3762935090119005e-05
B_2_1,3.4951878235643806e-06
A_2_2,-1.5178723799592692e-05
B_2_2,-7.083886121331359e-06
A_3_0,-5.259110363715272e-05
A_3_1,0.00035505068248812795
B_3_1,0.0012408940815270106
A_3_2,1.3935647319310473e-05
B_3_2,-5.812782013230246e-06
A_3_3,-7.940281683361102e-06
B_3_3,-0.00011122522885173954
A_4_0,-0.0006588571601265777
A_4_1,0.00035197020294884323
B_4_1,-0.0009680670248755935
A_4_2,-0.0008742526882328278
B_4_2,0.00024189752000879455
A_4_3,-0.0003208983058760836
B_4_3,0.00027056395616296183
A_4_4,-0.00018466593818428003
B_4_4,0.0006004157540752504
A_5_0,-0.0009720321965636529
A_5_1,0.005840710693983269
B_5_1,0.022736249195095072
A_5_2,0.002315871543418175
B_5_2,0.0009153782475847145
A_5_3,0.0013123738370281381
B_5_3,0.001916993102915033
A_5_4,-0.0005414648906805216
B_5_4,0.0007300728371941492
A_5_5,0.0018131638123640467
B_5_5,0.002265034825616511
