,x_gnl,y_gnl,z_gnl,r_gnl,x_gt,y_gt,z_gt,r_gt,x_B0,y_B0,z_B0
0,2.765,-0.03,-3.645,4.575217550326434,2.744262128234731,0.05183731935219572,-3.5152187634935315,4.459868236995128,0.04499999999999993,0.0,-0.0950000000000002
1,-22.75,-0.645,-3.505,23.027827768077522,-22.27724504433238,-0.6031013405425745,-3.530521212582604,22.5633321569464,0.030000000000001137,0.07499999999999996,-0.10499999999999998
2,3.22,-25.369999999999997,-3.5250000000000004,25.815788220993632,3.209017415731525,-24.954985488537755,-3.3154299311257582,25.377966213544433,0.0,0.010000000000001563,-0.15500000000000025
3,2.085,25.525,-3.86,25.899358755328272,2.0439125278645616,25.27839170316434,-3.949343581754368,25.666553727505253,-0.015000000000000124,-0.03500000000000014,-0.06000000000000005
4,28.22,0.7450000000000001,-3.755,28.47858437108154,27.85630714029633,0.714700154177643,-3.7798093423121553,28.120661487047848,0.00999999999999801,0.06500000000000006,0.04499999999999993
5,-48.010000000000005,-1.235,-4.08,48.19917527722995,-47.296271326253006,-1.3138926434883826,-3.9049536206639797,47.47538581227847,0.0799999999999983,0.11499999999999999,-0.1200000000000001
6,3.8099999999999996,-50.44,-3.705,50.7192498661081,3.836980909229683,-50.01745925488851,-3.7343219957608014,50.30321871988161,-0.03000000000000025,0.060000000000002274,0.07499999999999973
7,1.51,50.935,-4.23,51.13270668844204,1.377600555461668,50.33946082573785,-4.160631984240889,50.529891727814864,0.020000000000000018,-0.02499999999999858,0.07999999999999918
8,53.55,1.535,-3.4699999999999998,53.68510580165237,52.87482255525003,1.4792550485933158,-3.786308969175602,53.030851316549935,-0.04000000000000625,-0.09499999999999997,0.29000000000000004
9,-39.205,-25.77,60.94,76.9085312962907,-38.258669147368416,-23.498292292228765,62.913973780793086,77.29206687926735,0.045000000000001705,0.0,-0.6000000000000014
10,-46.385,-1.185,61.305,76.88513733519396,-45.330451081879154,0.19977774392852576,63.03553377467151,77.6425670923583,0.125,0.11499999999999999,-0.48499999999999943
11,-20.925,-43.295,61.395,77.98632282975532,-20.478635438955678,-40.196901980374896,63.32071179310446,77.74752716483603,-0.004999999999999005,-0.09499999999999886,-0.625
12,3.685,-49.495000000000005,61.635000000000005,79.13455188136902,3.40031391569599,-45.96320988776112,63.56743194873835,78.51749615511908,0.02499999999999991,-0.07500000000000284,-0.32499999999999574
13,-40.165,23.785,61.725,77.38823517041146,-39.514061752678785,24.10291673151134,63.60295047469286,78.6615978749918,0.09499999999999886,0.054999999999999716,-0.11500000000000199
14,-22.89,41.685,61.3,77.58430588557988,-22.652259909316946,41.9345214727209,63.26293437438018,79.20749860841757,0.08999999999999986,-0.3049999999999997,-0.0800000000000054
15,27.71,-41.655,61.735,79.46267894579687,26.975058341841766,-38.96574524460653,63.54476457768627,79.2711812719283,0.17999999999999972,0.365000000000002,-0.26500000000000057
16,25.71,43.405,61.56,79.5906536046044,24.781771604610157,43.17185118395393,63.286799023360935,80.51809653199587,-0.14999999999999858,0.035000000000003695,0.1600000000000037
17,51.19,1.025,61.615,80.11164869337777,49.52584596516236,2.700680623686333,63.48285391667837,80.5616275642596,0.0,0.03499999999999992,0.015000000000000568
