,0
A_0_0,-0.0010263969606298644
A_1_0,-0.0021695377966613996
A_1_1,0.013182805417668737
B_1_1,-1.169927225155275
A_2_0,-0.0018900463500606981
A_2_1,0.00022778079740981783
B_2_1,0.010527495333413994
A_2_2,-0.00949754415275438
B_2_2,-0.0033658768836198664
A_3_0,0.005822245965285997
A_3_1,0.04199318136315887
B_3_1,-1.2803410683208203
A_3_2,-0.03426101716287876
B_3_2,0.0028112256449545057
A_3_3,-0.016441433274162268
B_3_3,0.29241926208541513
A_4_0,0.0763087002293129
A_4_1,0.05614769258706252
B_4_1,0.051077681436123595
A_4_2,-0.019042343278222233
B_4_2,-0.021669690628957627
A_4_3,0.03643671294703064
B_4_3,0.07305013474340365
A_4_4,0.03146142694336332
B_4_4,0.00038696361355730743
A_5_0,0.631633752523146
A_5_1,-0.5076386114922979
B_5_1,47.45608933487154
A_5_2,0.197742401393765
B_5_2,0.14132975132833608
A_5_3,-0.706982096525235
B_5_3,-1.7922289802264073
A_5_4,0.21068910110822517
B_5_4,-0.042883537031948006
A_5_5,0.3788740790056773
B_5_5,1.0077107782745214
A_6_0,0.3112745754473384
A_6_1,-0.6543299143723663
B_6_1,1.4976132147172105
A_6_2,1.3853517493285425
B_6_2,1.8304059987818584
A_6_3,0.22122235869033927
B_6_3,-0.44358084112869095
A_6_4,0.030239773290114687
B_6_4,0.5987486772926927
A_6_5,-0.6339101157375254
B_6_5,-0.05433341229373845
A_6_6,1.3274987291597362
B_6_6,0.19738229155033618
A_7_0,2.9993798291314047
A_7_1,-4.304750300754623
B_7_1,-10.686782987343216
A_7_2,-1.9279182431740833
B_7_2,-6.238179369933619
A_7_3,-3.5208114848632954
B_7_3,-17.331441141110034
A_7_4,3.27032175746843
B_7_4,5.6631096732921815
A_7_5,-9.074538080147398
B_7_5,18.31370793199432
A_7_6,-8.359519618954616
B_7_6,-2.925085343597998
A_7_7,-3.0335310695678945
B_7_7,5.102543222984323
A_8_0,-12.64248930894907
A_8_1,-1.3087194588243187
B_8_1,-22.246595966559077
A_8_2,1.8597160038288854
B_8_2,64.95464975120481
A_8_3,51.21932037264197
B_8_3,61.507692570423046
A_8_4,21.954517022790032
B_8_4,34.68661806191561
A_8_5,-1.6725310937543512
B_8_5,-75.30243783547003
A_8_6,36.252543378494714
B_8_6,-70.24142829069925
A_8_7,23.468084673821465
B_8_7,-3.124574582396483
A_8_8,-18.783908010150768
B_8_8,7.8447433556899036
