,0
A_0_0,1.7802719399259174e-07
A_1_0,2.982724396216098e-06
A_1_1,-1.5003924706301579e-05
B_1_1,-7.508975405419528e-06
A_2_0,-0.00015791814727158734
A_2_1,-1.7693740773088095e-05
B_2_1,-8.419157449491557e-06
A_2_2,1.5801277779838523e-05
B_2_2,8.055903860006763e-06
A_3_0,0.000478997236935724
A_3_1,-7.44251379331537e-05
B_3_1,-0.001215435662818897
A_3_2,-2.7453153261113052e-05
B_3_2,4.2296414260273196e-05
A_3_3,-4.355890768811093e-05
B_3_3,0.0001093286684333579
A_4_0,0.0006368237798388257
A_4_1,-0.00028901971306137536
B_4_1,0.0009388958461772462
A_4_2,0.0008208527763616786
B_4_2,-0.0002328168837499194
A_4_3,9.463983558721891e-05
B_4_3,-0.00026575393254631884
A_4_4,0.00015127691610442747
B_4_4,-0.000590187100266073
A_5_0,-0.0017816591413302837
A_5_1,-0.003779757514752104
B_5_1,-0.022811792096734302
A_5_2,-0.002485246352498808
B_5_2,-0.00016279679055389296
A_5_3,-0.0005107541179023975
B_5_3,-0.002226973652731606
A_5_4,0.000887728436675708
B_5_4,-0.00018822333080031274
A_5_5,-0.0017960194682275317
B_5_5,-0.0024620052639585475
