,0
A_0_0,-2.691033033408414e-06
A_1_0,-3.2553485735941003e-06
A_1_1,1.2509101415528753e-05
B_1_1,8.516535595922117e-06
A_2_0,0.00013903786511959887
A_2_1,2.24785507717081e-05
B_2_1,3.0853578638946763e-06
A_2_2,-2.8935306390259772e-05
B_2_2,-4.983093952576809e-06
A_3_0,-7.883858627179655e-05
A_3_1,0.0005506632657571782
B_3_1,0.0012624849428111398
A_3_2,4.404388776709853e-05
B_3_2,-3.210263844103854e-06
A_3_3,-0.00016076853942971253
B_3_3,-0.00011079250626346379
A_4_0,-0.0014329706604649568
A_4_1,-0.00010627217976172282
B_4_1,-0.00021849672613563962
A_4_2,-0.0005708657762673049
B_4_2,0.00016018943221121076
A_4_3,-0.00020725193178883184
B_4_3,0.0003780674309438897
A_4_4,-0.00027982557292648434
B_4_4,0.0006093045416951533
A_5_0,-0.0045712330868865544
A_5_1,0.017021401510922605
B_5_1,0.03336665240969335
A_5_2,-0.0017571753104371518
B_5_2,-0.00011486271491048289
A_5_3,0.007369846714450302
B_5_3,0.0008267013412273888
A_5_4,0.0004791276491829577
B_5_4,0.0011963515815221
A_5_5,-0.0033835075278692457
B_5_5,0.0018862012525786228
