,0
A_0_0,-0.00025844032957905
A_1_0,-0.7924372560654861
A_1_1,-0.00156624051608355
B_1_1,-0.0027234461282817
A_2_0,0.0003671877382479878
A_2_1,-0.00445314226878715
B_2_1,-0.00020069850566475797
A_2_2,0.0001856453344312
B_2_2,-0.0015835877555490999
A_3_0,-1.423601680431616
A_3_1,0.0003777053945370002
B_3_1,-0.03552731625136545
A_3_2,0.02193244969959475
B_3_2,0.0007565863378755499
A_3_3,-0.0058067550048247
B_3_3,-0.0048861161988108
A_4_0,-0.0356063981347453
A_4_1,0.0389875493376166
B_4_1,-0.0085019883405952
A_4_2,0.023567403318454902
B_4_2,0.061148237013610704
A_4_3,0.0277118362412131
B_4_3,-0.0471168918752976
A_4_4,-0.0654459725596987
B_4_4,0.04582489247623455
A_5_0,18.94918458658951
A_5_1,-0.2382984937650723
B_5_1,0.8641984848259516
A_5_2,-0.2398025667095512
B_5_2,0.01555056803381441
A_5_3,-0.39011905688692106
B_5_3,-0.22392443054987976
A_5_4,0.010074094574925151
B_5_4,-0.06751645679353555
A_5_5,0.1843129928006076
B_5_5,0.02378815478064695
