,0
A_0_0,-1.8656221208712975e-07
A_1_0,-1.1574260321199385e-05
A_1_1,4.086940043780569e-06
B_1_1,-0.0011714740496090686
A_2_0,-8.883912708758274e-06
A_2_1,-3.4293338002231696e-06
B_2_1,2.0769799311248815e-05
A_2_2,4.60730799628135e-08
B_2_2,-1.5753978355829891e-06
A_3_0,7.570777904203858e-06
A_3_1,-5.555067734930894e-06
B_3_1,-0.0012135931023790401
A_3_2,7.068132112511029e-06
B_3_2,1.3162177542701187e-05
A_3_3,1.2482622912364635e-06
B_3_3,0.00029577464981934943
A_4_0,-0.0001687238120804522
A_4_1,-1.8210865035082485e-05
B_4_1,-0.0006230648685296998
A_4_2,-2.532581845461392e-05
B_4_2,-0.00026692971854496507
A_4_3,-2.032426175815662e-05
B_4_3,2.696671761485663e-05
A_4_4,5.6098912387894725e-05
B_4_4,6.241643225864468e-05
A_5_0,0.0011366464428012926
A_5_1,-0.00045363379580883734
B_5_1,0.046889380541460045
A_5_2,0.0006895767050649797
B_5_2,0.0008716996389477608
A_5_3,0.0002118316697929405
B_5_3,-0.0017238515465700488
A_5_4,-0.00014990464419625148
B_5_4,0.00012030540133628813
A_5_5,0.0004968868659119525
B_5_5,0.0011406872310465715
A_6_0,-0.010186534440648888
A_6_1,0.0029924111541422918
B_6_1,-0.00021941916797772984
A_6_2,0.0019113751841451124
B_6_2,-0.0009068944195331151
A_6_3,0.002414610473179043
B_6_3,0.0012748931208157875
A_6_4,0.0011293139768340631
B_6_4,0.0012355304951346853
A_6_5,-0.0012513472184097704
B_6_5,-0.0005506386642528923
A_6_6,-0.002010977357482015
B_6_6,-0.0011245809212183887
A_7_0,0.014277694806263577
A_7_1,-0.006960046691836753
B_7_1,0.000728287759344942
A_7_2,0.0070000936356877765
B_7_2,0.0051399828518132054
A_7_3,0.01491476403572179
B_7_3,-0.036579502615918136
A_7_4,-0.018706100440955796
B_7_4,-0.001902570577576724
A_7_5,-0.006220529925119689
B_7_5,0.03428868855600604
A_7_6,0.010310614906703656
B_7_6,0.0120067880746107
A_7_7,-0.005862670639636923
B_7_7,-0.005257689934186337
A_8_0,-0.4066164153932065
A_8_1,-0.041770937294055836
B_8_1,0.14159465778476935
A_8_2,-0.10749649119013557
B_8_2,0.029610940723251683
A_8_3,0.08976439985745878
B_8_3,0.07020505332668611
A_8_4,-0.04964614704869929
B_8_4,0.014646464091067889
A_8_5,0.11750249515059985
B_8_5,-0.13777478890008185
A_8_6,-0.1463809516118828
B_8_6,0.0008259706713239033
A_8_7,-0.0011979089609230624
B_8_7,0.11043432996841178
A_8_8,-0.040550180445488006
B_8_8,-0.03155053355360724
