,x_gnl,y_gnl,z_gnl,r_gnl,x_gt,y_gt,z_gt,r_gt,x_B0,y_B0,z_B0
0,-1.33,-2.3200000000000003,-3.605,4.6101501122062984,-1.3263381065206368,-2.2958789783063196,-4.659918773671946,5.361443465435206,-0.28,-0.38000000000000034,1.1149999999999998
1,0.1,17.32,-3.67,17.7306854365725,0.059403510888331415,17.3631304266356,-4.773801986596149,18.00752654854892,0.05,-0.10999999999999943,1.0
2,19.064999999999998,-2.2699999999999996,-3.485,19.5496863722642,19.052542617241603,-2.120310013740371,-4.467835496541426,19.68391853164229,-0.08500000000000085,-0.009999999999999787,1.225
3,-20.96,-2.735,-3.9000000000000004,21.522309506025728,-20.60489912617396,-2.567810011354545,-4.848700459141301,21.322884710955368,-0.33999999999999986,-0.02499999999999991,1.0499999999999998
4,-1.52,-23.605,-3.87,23.985888807525107,-1.116734504310327,-23.08398051787515,-4.906901992771533,23.626149488848622,-0.25,-0.004999999999999005,0.8899999999999997
5,-0.45999999999999996,37.34,-3.655,37.53274154815422,-0.966063813538131,37.252589546993235,-4.794602615340058,37.57228927664114,0.26,0.0,0.895
6,39.155,-1.845,-4.0600000000000005,39.4253125063535,38.7043574203185,-1.7747076432818003,-5.066361976407704,39.0748626896484,0.125,-0.125,1.1499999999999995
7,-41.260000000000005,-2.6900000000000004,-3.9699999999999998,41.55507550474006,-40.773732228345665,-2.6919048342541316,-5.089058050393026,41.178175084694864,-0.1600000000000037,-0.010000000000000231,1.1900000000000004
8,-1.4849999999999999,-43.205,-4.105,43.44134270948367,-1.280717980744137,-42.62125555753642,-5.27581044223458,42.96563556692048,-0.5049999999999999,0.14500000000000313,1.0949999999999998
9,-0.395,57.805,-3.52,57.92724695977774,-0.743139432580681,57.4339222120665,-4.665309993656829,57.62788209031177,0.41500000000000004,0.125,1.19
10,-61.0,-2.5,-4.234999999999999,61.206663097453166,-60.1739174389529,-2.626010365890176,-5.163029079691368,60.452073079998016,-0.020000000000003126,0.040000000000000036,1.0350000000000001
11,58.885,95.03999999999999,98.685,149.12764983039762,54.92695203900611,88.64243079969415,100.86496200107051,145.079947469839,-0.16499999999999915,-0.020000000000010232,0.5949999999999989
12,39.5,104.775,99.38,149.71482676731637,36.476277795765654,97.47694646516987,101.1534978329656,145.135467952707,-0.09000000000000341,0.09499999999999886,0.4299999999999926
13,75.33,82.6,98.75999999999999,149.16898729051596,70.25475012546772,77.00975998619441,101.03867315619514,145.17247163800582,-0.1700000000000017,0.06999999999999318,0.8399999999999892
14,-0.72,112.33500000000001,98.755,149.5740990988733,-1.6761587051517526,104.36243286307494,100.96490804604619,145.21790370973974,0.21000000000000008,0.14500000000001023,0.6349999999999909
15,27.675,43.79,139.215,148.5516411272144,26.771318315771513,42.62429413393013,136.24054521116216,145.2412479091765,1.875,0.03999999999999915,0.125
16,39.175,129.51,60.394999999999996,148.17766522537005,37.60690748653248,124.22845807311566,65.3455768769495,145.31701105963398,1.2049999999999983,0.07999999999998408,0.7549999999999955
17,89.93,67.065,98.87,149.53691451401454,83.81319268907708,62.41397338699383,101.0078705604791,145.33666178171026,-0.6399999999999864,0.07500000000000284,0.7000000000000028
18,57.545,122.25,60.715,148.13641690066441,55.75971262318976,117.1659737379437,65.51374550065478,145.3583908940443,1.4250000000000043,0.12999999999999545,0.625
19,92.6,97.805,61.495000000000005,148.0636038162842,89.00409085316228,94.12756146811697,65.97610487173681,145.3773449701793,1.019999999999996,0.05500000000000682,0.7250000000000014
20,100.375,49.004999999999995,99.405,149.53004794231123,93.7269310657012,45.80105571866064,101.26932408413782,145.38896214086094,-0.7750000000000057,0.14499999999999602,0.7950000000000017
21,9.435,50.945,139.515,148.83183278592844,8.617298994108474,49.520490467400414,136.46980183356592,145.43226475090907,1.455,-0.015000000000000568,0.35499999999998977
22,76.08,111.36,61.285,148.1438481646233,73.23127491079467,107.10687213878846,65.93170034057758,145.5393101337741,1.4399999999999977,-0.030000000000001137,0.6649999999999991
23,109.08,29.39,98.58,149.938549093385,101.68093759340026,27.1540553037363,100.7200011525828,145.6738632064366,-1.0499999999999972,0.10000000000000142,0.5900000000000034
24,-21.41,134.555,60.81,149.2102585090235,-21.978355000207557,128.24450536487834,65.5978833109115,145.71473343375206,1.4800000000000004,-0.11499999999998067,0.46999999999999886
25,117.78999999999999,65.545,61.03,147.9712323221862,113.19427061992013,63.855209868896225,65.96463730461413,145.74554574087603,0.769999999999996,-0.015000000000000568,0.5300000000000011
26,50.445,13.100000000000001,139.005,148.45449165904768,49.77305181407514,11.483243340544862,136.5202085030275,145.763468997602,-0.11500000000000199,0.120000000000001,0.15500000000000114
27,-21.634999999999998,111.28,98.58,150.2313464020245,-21.091939451368884,103.02733912938574,100.93877880786106,145.76741606107987,0.1650000000000027,0.030000000000001137,0.4200000000000017
28,-40.46,129.775,60.11,148.64203636896553,-40.67235329417643,123.90813544885812,65.14752374731451,145.77951228929868,1.509999999999998,0.09499999999999886,0.6300000000000026
29,0.595,136.39499999999998,61.265,149.53094009122384,-0.2557378230364203,130.08194184896968,65.97208932502667,145.85504299455042,1.385,0.1349999999999909,0.5949999999999989
30,-41.730000000000004,105.69,98.72,150.5245459702874,-40.25291934119124,97.72875639714904,100.52120163958377,145.8619872396081,0.29999999999999716,0.060000000000002274,0.45000000000000284
31,42.025000000000006,30.835,139.75,149.15725024154742,41.38317576542853,29.232853591712484,136.80343247798626,145.88456430789995,0.9350000000000023,-0.004999999999999005,-0.22999999999998977
32,112.245,9.82,98.63499999999999,149.74996279539766,105.14197227923974,8.42059506246426,100.88972531731912,145.96053381163867,-0.9449999999999932,0.120000000000001,0.35499999999998977
33,-43.81,30.95,138.72,148.7306345002964,-44.54434503546741,29.287837653309538,135.9076949245882,145.9893066246988,0.5300000000000011,-0.10999999999999943,0.22999999999998977
34,-60.78,96.08,98.515,150.4359292408456,-57.93331874550246,88.67824963524933,100.51099101578541,146.02246640231385,0.3100000000000023,0.09000000000000341,0.32500000000000284
35,19.15,111.55,99.34,150.59424143918258,17.434704947926836,103.66045977263026,101.35762195429412,146.02337958396924,-0.14000000000000057,0.04999999999999716,0.29999999999999716
36,106.5,83.05,60.965,148.17878323749184,102.40890792131194,80.53020442655358,66.02038639938343,146.05269482944212,1.1200000000000045,-0.1599999999999966,0.2850000000000037
37,127.155,47.07,61.055,148.70061226010245,122.14425027257452,45.65245644594588,65.9967626893253,146.14697170885694,1.0150000000000006,-0.060000000000002274,0.5450000000000017
38,-92.605,98.45,59.82,147.81638010244563,-91.22291979997641,94.1214405600603,64.68618488665162,146.1669223358143,1.9050000000000011,-0.01999999999999602,0.6499999999999986
39,19.725,135.195,60.9,149.59336036331723,18.307920450628778,129.19590919426892,65.86943634949358,146.16957805494383,1.5150000000000006,0.014999999999986358,0.759999999999998
40,-77.36500000000001,82.235,98.44999999999999,149.80186407228257,-73.72298758373908,76.12060863044235,100.69377606224604,146.18023975289847,0.41499999999999204,0.03499999999999659,0.28999999999999204
41,-76.43,111.695,60.43,148.23047414121305,-75.41772591880174,106.87555635178094,65.36668231490536,146.22934413148397,1.769999999999996,0.03499999999999659,0.6499999999999986
42,133.11,28.055,60.715,148.96900422194355,127.7759269404228,27.120854156614325,65.87914254286125,146.29521406338364,1.1300000000000239,0.07499999999999929,0.7950000000000017
43,-11.235,52.36,139.755,149.67772794032817,-11.838245983019476,50.79819252190544,136.70036017457576,146.3133244216185,1.9250000000000007,-0.38000000000000256,0.6550000000000011
44,136.08499999999998,7.29,61.265,149.4177826084692,130.58238673733211,6.947456230143481,65.8932672939535,146.43069879216017,1.174999999999983,0.03000000000000025,0.5649999999999977
45,-59.345,122.41499999999999,60.28,148.81038212742362,-58.97079636941732,117.10359149092304,65.28004750630842,146.46600481662,1.7749999999999986,-0.05500000000000682,0.7899999999999991
46,52.575,-7.66,138.925,148.74429334105693,51.89846729304487,-8.655712762083304,136.74192033891214,146.5152724078972,-1.4349999999999952,-0.08000000000000007,0.09499999999999886
47,-29.354999999999997,44.510000000000005,140.33999999999997,150.13421762112281,-30.173391552078495,42.8820836494235,136.91520262947776,146.61200280653063,1.4550000000000018,-0.0799999999999983,0.13999999999998636
48,-92.33500000000001,67.095,98.065,150.48010632803886,-87.42356260587015,61.47750749567448,100.38275641669483,146.62558103003957,0.17499999999999716,0.0049999999999954525,0.045000000000001705
49,113.07,-12.24,99.045,150.82136114211477,105.51032875918162,-12.563736476806124,101.07040003516104,146.64754587921578,-1.6400000000000006,-0.009999999999999787,0.6749999999999972
50,-107.63,82.32,60.09,148.23818547123943,-105.16527318700159,79.0056215750455,65.12675093570019,146.77573577535455,1.7700000000000102,0.10999999999999943,0.7900000000000063
51,89.99000000000001,109.855,27.630000000000003,144.6771893602113,91.15489310423779,110.87117385790128,30.80489514250757,146.80113519389036,1.4100000000000108,-0.07500000000000284,0.8500000000000014
52,108.49000000000001,-33.31,98.285,150.1432069363753,101.35551129717051,-32.4412160265285,101.12869761432502,146.80730788608696,-2.289999999999992,-0.010000000000005116,0.375
53,140.815,26.395,27.59,145.90050436620783,140.96122195595106,27.197297876100208,30.843424315440288,146.83690248223883,1.4749999999999943,-0.125,0.46000000000000085
54,104.945,95.155,27.29,144.27063980201314,106.17276309678849,96.73360996381402,30.567686315847954,146.84832435864615,1.2949999999999875,-0.05499999999999261,0.9100000000000001
55,38.5,137.985,27.259999999999998,145.840421264739,38.9553481377993,138.29485848966507,30.438662273517274,146.86558206133552,2.030000000000001,-0.03499999999999659,0.6999999999999993
56,117.22,79.715,27.325,144.370081671074,118.20286448995229,81.67315654229384,30.50285416009311,146.87697499990927,1.1400000000000006,-0.23499999999999943,0.7650000000000006
57,136.26999999999998,-13.34,61.095,149.93362863123457,130.63915138407432,-13.234057755507216,65.83520679218307,146.88772110832375,1.3199999999999932,-0.019999999999999574,0.7149999999999963
58,46.980000000000004,-25.46,138.42000000000002,148.39694782232553,46.72907321417363,-26.974357397118602,136.67034106381334,146.93537479770538,-2.6099999999999994,0.05999999999999872,0.0700000000000216
59,-52.575,12.925,138.67000000000002,148.86430895985677,-53.417159743006884,11.146880006194097,136.46277582971356,146.96848327458872,-0.09500000000000597,-0.014999999999998792,0.6700000000000159
60,35.620000000000005,-42.28,137.485,148.2280832994653,34.827144972750254,-43.675139979365134,135.9446928869814,146.97417257227812,-3.5899999999999963,0.28999999999999915,0.535000000000025
61,73.695,121.83,27.560000000000002,145.036707083041,74.75593047779739,122.89074111366374,30.602589035791315,147.06155802506763,1.644999999999996,-0.12999999999999545,0.8000000000000007
62,56.095,131.51999999999998,27.075000000000003,145.53448077695543,57.08680027610969,132.14834116732501,30.23113357108695,147.09183619777497,1.7849999999999966,0.04999999999998295,0.8150000000000013
63,0.37,144.16500000000002,27.145,146.71013465569575,-0.28369106431428204,143.97454288032796,30.376310710143084,147.14438395867685,1.6,0.1150000000000091,0.9149999999999991
64,135.685,45.235,27.285,145.60673691003242,136.17775804865892,46.70693779874547,30.640143385789276,147.18946365958635,1.1550000000000011,0.005000000000002558,0.5249999999999986
65,-119.115,65.945,60.870000000000005,149.14893127025172,-115.89392263754888,62.982866072726004,65.41707330852307,147.23327138695856,2.155000000000001,0.05499999999999261,0.6900000000000048
66,132.72,-32.730000000000004,61.379999999999995,149.84458054142783,127.56189085547221,-32.47916408209763,65.97821069890229,147.24149002616068,1.289999999999992,-0.15000000000000568,0.4399999999999977
67,-55.37,131.89499999999998,27.16,145.61097694049934,-58.19379251600355,131.86117833788202,30.181504866104056,147.25763503476844,1.4299999999999997,-0.045000000000015916,0.9400000000000013
68,-128.13,47.25,60.195,149.24978610028543,-124.17357454726819,44.915989314414325,65.20581883198044,147.26955395290503,1.8600000000000136,-0.00999999999999801,0.6950000000000003
69,88.82,111.36,-2.9850000000000003,142.4780721917453,91.50656243793246,115.32858191302877,-4.457986788920321,147.28885369058855,0.7299999999999898,0.010000000000005116,0.8449999999999998
70,143.38,6.72,27.54,146.15589421681523,143.91798056217158,7.237994543780232,30.63155399429641,147.31960424266313,1.3400000000000034,0.0,0.5899999999999999
71,-19.119999999999997,142.96499999999997,27.090000000000003,146.7706408928679,-20.71918248962355,142.77875088339653,30.17788766161724,147.3966116658674,1.5300000000000011,0.014999999999986358,0.9200000000000017
72,127.96000000000001,63.519999999999996,27.235,145.43431979579321,128.6369086429522,65.11368090826471,30.657415925232335,147.40123085595735,1.220000000000013,0.02999999999999403,0.9849999999999994
73,-133.575,28.735,59.724999999999994,149.1219707814986,-129.5825636238577,26.648597641380668,65.00398069555372,147.40185228772145,1.8550000000000182,-0.03500000000000014,0.8149999999999977
74,-110.71000000000001,29.675,98.115,150.8769806354015,-104.4491332206794,26.270917994069077,100.68292454556982,147.43416787790827,-0.2400000000000091,0.07499999999999929,0.23499999999999943
75,-103.74000000000001,48.709999999999994,98.08000000000001,150.84566776096742,-98.45784942886856,44.2246786857241,100.60232955337177,147.54863276417885,-0.1600000000000108,-0.09000000000000341,0.4000000000000057
76,-37.315,139.215,26.835,146.6171970716639,-39.07735180824931,139.0356952714996,30.228424330630027,147.5524368537762,1.5350000000000037,-0.0049999999999954525,0.9750000000000014
77,-114.065,9.04,98.16499999999999,150.76124330710692,-107.55597232643295,6.966509190633009,100.7748566987097,147.55470570616532,-0.6550000000000011,0.1399999999999988,0.33499999999999375
78,72.99000000000001,123.125,-3.115,143.17404459904895,75.42844104906031,126.75517958877147,-4.408205653898991,147.56611246746436,1.0500000000000114,0.03499999999999659,0.9950000000000001
79,90.075,-70.225,97.57499999999999,150.24007159771858,84.35087346237661,-67.10802982519513,100.81738883501964,147.58964534274313,-2.6850000000000023,-0.14499999999999602,0.5549999999999926
80,-54.754999999999995,-6.664999999999999,138.95,149.502216568192,-55.51343521639947,-8.273553979025763,136.517300735675,147.60476477784843,-1.3449999999999989,0.14500000000000046,0.3699999999999761
81,18.5,-52.230000000000004,137.695,148.4929677257918,17.777937485170327,-53.66038955476413,136.36256243892652,147.61517843130426,-4.48,-0.20000000000000284,0.16499999999999204
82,19.174999999999997,143.25,27.1,147.05765262485494,19.279561480169036,143.18147851274526,30.29950713185515,147.6167247042038,1.6549999999999976,0.009999999999990905,0.8399999999999999
83,18.63,143.55,-3.0999999999999996,144.79795607160608,18.864211724369707,146.37193881020468,-4.696681913106481,147.65724423824608,1.4800000000000004,-0.04999999999998295,0.9900000000000002
84,101.6,-53.335,97.625,150.67473747661228,94.89653052612825,-50.8942525826207,101.05934879435218,147.67724411898575,-2.3599999999999994,-0.26500000000000057,0.7049999999999983
85,126.35,-52.129999999999995,61.15,149.73852013031478,121.82398217167191,-51.330722333392245,65.9657433649642,147.74100644412832,1.1999999999999886,0.22000000000000597,0.5399999999999991
86,127.495,65.705,-3.34,143.4731858894656,130.5103083878866,69.14725784086009,-4.675492680266222,147.77057925789853,0.4549999999999983,-0.06499999999999773,1.0899999999999999
87,116.83,82.63,-3.2,143.13725338766605,119.88338522888925,86.27256352783787,-4.601944734464473,147.77063025832348,0.480000000000004,-0.07000000000000739,0.9699999999999998
88,143.525,-13.1,27.395,146.70317256850018,143.93587901443897,-13.425323859283733,30.675737916765694,147.77948939255393,1.4650000000000034,0.16000000000000014,0.745000000000001
89,-73.445,122.72,26.695,145.49723212396674,-76.11436210418006,123.07237043470596,30.01434842323163,147.7872308226082,1.4450000000000074,-0.0799999999999983,0.875
90,-137.13,7.865,60.834999999999994,150.23155626808105,-132.51640180901236,6.201900380032866,65.26867789259293,147.84809985447401,1.75,0.23500000000000032,0.7849999999999966
91,-1.1699999999999997,-56.735,137.39,148.7127950971594,-1.5655226712898997,-58.16903713741602,135.91664075198685,147.84931848349203,-4.39,-0.06499999999999773,0.2599999999999909
