,0
A_0_0,3.700379747462712e-05
A_1_0,-0.0047665948214011405
A_1_1,-1.1719544044968784
B_1_1,-0.006035756528312745
A_2_0,-0.0025585462925890637
A_2_1,-0.0028053535378978678
B_2_1,-0.013831120708322844
A_2_2,-0.0014889353226322736
B_2_2,3.617674298850209e-05
A_3_0,-0.002196214331895797
A_3_1,-1.3239092768473113
B_3_1,-0.010543220296560178
A_3_2,-0.019040910243729815
B_3_2,-0.002763555135733282
A_3_3,-0.31137703922223164
B_3_3,-0.01660317758037239
A_4_0,-0.06728963595965347
A_4_1,-0.6718335175458814
B_4_1,0.03489198541153616
A_4_2,0.016424372619630975
B_4_2,0.15401758045339642
A_4_3,0.050950581451072036
B_4_3,-0.02834996734891021
A_4_4,-0.01586832735338941
B_4_4,-0.044674332602268205
A_5_0,-0.003461867241260693
A_5_1,49.242959719862114
B_5_1,0.40505465020508635
A_5_2,-0.5159130016739406
B_5_2,-1.1909704518872228
A_5_3,2.4093220072640493
B_5_3,-0.08811983057593355
A_5_4,-0.006844613840015688
B_5_4,0.009052092750277073
A_5_5,0.5188258648482819
B_5_5,0.14592365915922387
