,0
A_0_0,1.2994580760981111
A_1_0,-796.3538261974868
A_1_1,-0.7930061716047861
B_1_1,-0.8454651338493255
A_2_0,-2.5939593668126637
A_2_1,-4.868432158397331
B_2_1,6.857217906824983
A_2_2,0.7278676634054164
B_2_2,1.1188342688454411
A_3_0,-1431.6394853476395
A_3_1,9.19921755257556
B_3_1,-134.91555081836827
A_3_2,-14.223502694876505
B_3_2,-0.9194762269615382
A_3_3,-9.322768496756707
B_3_3,16.211394770200197
A_4_0,-47.188267616813036
A_4_1,58.35332427810677
B_4_1,208.73395186890446
A_4_2,75.10936878429187
B_4_2,128.29694028257228
A_4_3,110.65978008944835
B_4_3,-30.924385735488535
A_4_4,-33.32877395219474
B_4_4,-138.19255838879468
A_5_0,19323.693097416195
A_5_1,-54.72422164938283
B_5_1,-4613.766583335774
A_5_2,-121.2167352440237
B_5_2,251.79347300882506
A_5_3,-315.2048451936726
B_5_3,-439.82261816803896
A_5_4,34.96759701255958
B_5_4,-21.798566465244456
A_5_5,-147.2706324134851
B_5_5,3.2806950547006606
A_6_0,21280.998216787648
A_6_1,3527.3092222055902
B_6_1,-2080.1630401223006
A_6_2,4313.781192583192
B_6_2,824.6730911707298
A_6_3,6018.259630518349
B_6_3,4519.56026487154
A_6_4,-1236.9509995379524
B_6_4,1837.78105385712
A_6_5,142.20566970446896
B_6_5,-3404.617922997727
A_6_6,2117.046626722909
B_6_6,-779.0909408028645
A_7_0,38643.610631972144
A_7_1,27310.22197042333
B_7_1,64955.5921411663
A_7_2,34595.36088419212
B_7_2,17570.58191497851
A_7_3,-22610.890016839705
B_7_3,3889.021371547783
A_7_4,-11870.143652366527
B_7_4,-9971.371776377355
A_7_5,-10849.706577878658
B_7_5,-13824.435970706174
A_7_6,1408.268500568801
B_7_6,10402.129625281941
A_7_7,2983.449067998183
B_7_7,15158.141374806046
A_8_0,-859971.7031629083
A_8_1,83048.8542215502
B_8_1,-157296.79021448205
A_8_2,126286.20936382949
B_8_2,-36631.35975973079
A_8_3,244922.01545962787
B_8_3,223453.7562894583
A_8_4,-83480.78284870773
B_8_4,125978.87275266004
A_8_5,158651.2636660885
B_8_5,73982.89822504063
A_8_6,156034.16293511915
B_8_6,101597.03717831006
A_8_7,10828.78286629252
B_8_7,-12419.523780295354
A_8_8,68480.17440141476
B_8_8,-17755.83272314522
