,0
A_0_0,3.120735230199503e-08
A_1_0,-1.1808169101665188e-07
A_1_1,2.1996997891277566e-06
B_1_1,-2.4555010000699878e-05
A_2_0,-0.00013157173239592462
A_2_1,-2.0547764938846286e-05
B_2_1,-6.593297630253891e-06
A_2_2,1.9329916113093254e-05
B_2_2,9.727232796689937e-06
A_3_0,0.00016044869355136696
A_3_1,6.351748384933032e-06
B_3_1,-0.0012139256390745162
A_3_2,-6.343215686981125e-05
B_3_2,2.1656177743594817e-05
A_3_3,-5.621237217743905e-05
B_3_3,0.00010500361844141133
A_4_0,0.001810531061093917
A_4_1,-0.00028962902983112576
B_4_1,0.0005709165494186344
A_4_2,0.0009778987827561074
B_4_2,-0.00020533055672626057
A_4_3,0.00017839184838068235
B_4_3,-0.000247741051306807
A_4_4,3.477375820120152e-05
B_4_4,-0.000624849775000829
A_5_0,0.009307012272414676
A_5_1,-0.007019906673507872
B_5_1,-0.03316566502501496
A_5_2,-0.0004664560518573401
B_5_2,0.0006280578130471847
A_5_3,-0.0006778433699718422
B_5_3,-0.0017125033510111722
A_5_4,0.0007623215174080867
B_5_4,-0.001227355814276996
A_5_5,-0.001369696247189083
B_5_5,-0.0020580492968066484
