,0
A_0_0,-0.18094076031776432
A_1_0,-11.71475803274996
A_1_1,4.136743910832983
B_1_1,-1171.380591336084
A_2_0,-8.465742215107964
A_2_1,-4.213981617674444
B_2_1,21.19198561455584
A_2_2,0.24586279479460832
B_2_2,-5.981600994654004
A_3_0,7.517754712542974
A_3_1,-10.507463613764072
B_3_1,-1211.4778839556504
A_3_2,6.234132563504339
B_3_2,7.812820216293971
A_3_3,2.0047427119494157
B_3_3,298.07189841840653
A_4_0,-104.78572307053462
A_4_1,5.8360544846406635
B_4_1,-650.9949648118451
A_4_2,-16.31786467482393
B_4_2,6.230288390601167
A_4_3,-24.666487902508162
B_4_3,4.162629843816994
A_4_4,65.50800878667329
B_4_4,20.850425537943924
A_5_0,943.0130958087013
A_5_1,-688.8088350952635
B_5_1,47338.425712753466
A_5_2,556.3298604919219
B_5_2,475.30552994589107
A_5_3,-1.011013019857018
B_5_3,-2023.0794851427065
A_5_4,-189.0290801330418
B_5_4,8.181663437518214
A_5_5,351.1194649526757
B_5_5,1138.9363348741542
A_6_0,-3905.1564977835797
A_6_1,2795.1650863079994
B_6_1,-2219.976955967677
A_6_2,2349.2760476524254
B_6_2,987.1937066128397
A_6_3,1552.4511635040096
B_6_3,1429.6939203294762
A_6_4,1241.612101121113
B_6_4,396.1564390818121
A_6_5,-1120.738444927322
B_6_5,786.4069233608265
A_6_6,-1822.895575321
B_6_6,621.2891743141286
A_7_0,4158.03718707516
A_7_1,-7897.351365511109
B_7_1,16750.552711786175
A_7_2,-10983.720942909422
B_7_2,6081.033892403122
A_7_3,7537.174294608695
B_7_3,-46300.67256225432
A_7_4,-14562.3058036733
B_7_4,-8215.897219690029
A_7_5,-8199.684936501428
B_7_5,24199.657628371715
A_7_6,4331.726222677223
B_7_6,10975.696215289829
A_7_7,-72.23950749965522
B_7_7,-13365.316479945577
A_8_0,-196481.6348990498
A_8_1,-49683.10670041742
B_8_1,80163.24988461302
A_8_2,-58904.419043089176
B_8_2,25391.63444237079
A_8_3,-921.3448066986481
B_8_3,67783.91896944927
A_8_4,6034.801693119373
B_8_4,65951.56695182397
A_8_5,74662.74369310924
B_8_5,-46179.08125943406
A_8_6,-77874.09272462972
B_8_6,-7127.913904897384
A_8_7,-33503.24225110419
B_8_7,64897.50212822272
A_8_8,-7043.05506897086
B_8_8,-14314.106971844561
