,0
A_0_0,-2.5362102031995993e-07
A_1_0,-0.0012087261214319463
A_1_1,-2.114673350534273e-06
B_1_1,-1.624120065372241e-06
A_2_0,-4.208258580966736e-06
A_2_1,2.55144402639513e-06
B_2_1,1.078889161041551e-05
A_2_2,1.2054718606130144e-06
B_2_2,4.3673669201403967e-07
A_3_0,-0.002166007572895844
A_3_1,3.9720728809655454e-05
B_3_1,-0.0002051999041297963
A_3_2,-2.7872190320823087e-05
B_3_2,-7.894645214405385e-06
A_3_3,-2.989911640247149e-05
B_3_3,1.926172187376781e-05
A_4_0,5.99419313430799e-05
A_4_1,-0.0002958400294529144
B_4_1,0.00026890110853093965
A_4_2,0.0001165097075491485
B_4_2,0.00017896627555757244
A_4_3,0.00018276857399535107
B_4_3,-3.473667129181429e-05
A_4_4,1.5094306388296896e-05
B_4_4,-0.00024878215541714304
A_5_0,0.0298821672869289
A_5_1,-0.0011564505224600438
B_5_1,-0.0068212515561283105
A_5_2,-4.451857006343429e-05
B_5_2,0.00010008567413860581
A_5_3,-0.0012062025038334923
B_5_3,-0.001392473515822834
A_5_4,5.156914969133182e-05
B_5_4,0.0004815534908684041
A_5_5,-0.00011305411175560956
B_5_5,0.00037139842864132924
A_6_0,0.03884314711381365
A_6_1,0.022059527344033547
B_6_1,-0.0003773858476365799
A_6_2,0.011188794259597554
B_6_2,2.3471753890058622e-05
A_6_3,0.009407359554191697
B_6_3,0.007242292102461079
A_6_4,0.0025524574078887308
B_6_4,0.001940416546637902
A_6_5,-0.002424932647151379
B_6_5,-0.0016858235493696916
A_6_6,0.003383683207509952
B_6_6,-2.0784475706123184e-05
A_7_0,0.04137856040248944
A_7_1,0.035409185473306515
B_7_1,0.12209894068123717
A_7_2,0.07258131431759907
B_7_2,0.0439978382372197
A_7_3,-0.040716590803859365
B_7_3,-0.02509465174916148
A_7_4,-0.028379860514799127
B_7_4,-0.0070330149883202076
A_7_5,-0.022676232012622144
B_7_5,0.021202403302633233
A_7_6,0.0006085960836900717
B_7_6,-0.004429423612344885
A_7_7,-0.002275351879168719
B_7_7,0.022892830244245044
A_8_0,-1.1821423763022576
A_8_1,0.39485210959145434
B_8_1,-0.09112369086997507
A_8_2,0.34605006342874134
B_8_2,0.21165782074390993
A_8_3,0.3759213256621763
B_8_3,0.5795191394750248
A_8_4,0.12119815147243074
B_8_4,-0.06185618912767765
A_8_5,0.2863092096412636
B_8_5,0.15690466789996194
A_8_6,0.07894948024678783
B_8_6,0.1079418198382589
A_8_7,0.0200471634387811
B_8_7,0.04890499673504323
A_8_8,0.12477158387034831
B_8_8,-0.09766473842071449
