,x_gnl,y_gnl,z_gnl,r_gnl,x_gt,y_gt,z_gt,r_gt,match_distance
0,1.2,-1.94,-4.72,5.242327727260095,0.9234711685688892,-2.288975238192575,-4.649722018289544,5.264230379419515,0.45076701986449214
1,2.3,17.43,-4.67,18.19076139143164,2.310649814552264,17.36992188857872,-4.7654767726244485,18.159379335518043,0.11330759962476482
2,-18.37,-2.71,-4.95,19.21727087804093,-18.355109232423814,-2.559515315451007,-4.8385229426966045,19.153914948418237,0.1878683303482589
3,21.4,-2.26,-4.71,22.028429358444964,21.30236422045517,-2.1148773297845924,-4.457607734414338,21.866268410839467,0.3070752197511865
4,0.98,-23.6,-4.76,24.095186241239144,1.1315560620075067,-23.07711550010477,-4.894722279897555,23.617620225669803,0.5608275428888132
5,1.53,37.34,-4.55,37.64729737975888,1.2866361499596184,37.25945382711183,-4.788176569957248,37.587883246362104,0.34991674431214226
6,-38.85,-2.68,-5.16,39.28269975447207,-38.52395078854852,-2.682159037421067,-5.078915957150969,38.949764424965785,0.3359871600752967
7,41.28,-1.72,-5.21,41.64301742189199,40.95420562739212,-1.7707682766583843,-5.056121122865402,41.303110532615115,0.363865497081036
8,1.27,-43.35,-5.2,43.679233051874895,0.9661455785013326,-42.61441359531355,-5.261767932232057,42.948898532138955,0.7982669639137355
9,1.44,57.68,-4.71,57.88989635506355,1.511035168161014,57.440782384342555,-4.66080802700597,57.64936981155493,0.2543440837989789
10,-58.73,-2.54,-5.27,59.02065231764217,-57.92413095862624,-2.6148537779243837,-5.152938727751236,58.21164131961894,0.8177599533938458
11,-101.83,98.98,-5.01,142.09676069495745,-105.76168425723858,102.093248838442,-5.291289307472258,147.09372202052415,5.0229058425553195
12,-114.65,84.3,-5.27,142.40395149011843,-118.54313395806723,87.36378237404948,-5.578275752315279,147.36357161683284,4.963697048617894
13,-86.37,113.16,-5.19,142.44963531016847,-90.23460599065477,116.13355052264772,-5.763167596728309,147.1818595344992,4.909755927506232
14,-70.97,124.13,-4.82,143.0672226612371,-74.18239578830172,127.19944706456658,-5.22923750484361,147.3433816067277,4.461890554265725
15,-126.06,67.45,-5.7,143.08429718176626,-129.57584215239808,69.86902415649838,-5.820937673868963,147.32773914469604,4.269361759240214
16,90.34,111.35,-3.83,143.4392101205246,93.76496750217498,115.32871944857867,-4.458789814428515,148.70260074034397,5.287342193596131
17,-134.84,49.49,-4.72,143.71278335624845,-138.00964943388706,51.31663301856869,-5.03864757168637,147.32768962614773,3.6721658450031263
18,74.19,123.09,-4.11,143.77828869478174,77.6876811456281,126.75649684496167,-4.4101360549667525,148.73477936990687,5.076125900929491
19,-53.33,133.73,-4.49,144.04152838678155,-55.93317455904816,136.33500132825128,-4.865956868098081,147.44297250011417,3.701876993058617
20,-140.41,31.67,-5.75,144.05214160157425,-143.4252468906369,32.65170854113261,-6.015120017816684,147.2179241299237,3.18209900774244
21,56.98,132.44,-4.04,144.2338226630633,60.00759499341559,136.08029514600727,-4.461506199633824,148.79066913448443,4.753498466448582
22,-103.34,97.33,25.64,144.2556553484126,-104.58656019449248,98.27157129931484,30.14864952182154,146.64443858170057,4.7716233443984395
23,-141.88,-25.67,-6.13,144.31375610107304,-144.87009965362097,-27.57699430681996,-6.2556480750725765,147.60409723814448,3.548677311844152
24,-144.1,-6.46,-5.11,144.33521295927753,-147.05951283479564,-7.2047463750934035,-5.415776578734149,147.3354652535757,3.0670609218985674
25,105.27,98.75,-3.77,144.38680098956414,108.90586806478932,102.49448643237118,-4.303570489876117,149.6132633389906,5.2464666866790735
26,-116.11,82.01,25.48,144.41745947079946,-117.06589630200811,82.79191361434208,29.93123684574121,146.4745847443612,4.619376158895315
27,-88.59,111.11,25.81,144.42913937291186,-89.86892030338208,111.88633785903852,29.856574942602343,146.58236764122003,4.314290947522732
28,-130.46,-61.82,-6.23,144.50030069172868,-133.85959249635212,-64.89526666966755,-6.272381038256469,148.8930115999599,4.584352776916871
29,-120.78,-79.09,-6.24,144.5059656208006,-124.29031812191535,-82.66951560751805,-6.689109537484325,149.4224754715068,5.033583681451215
30,-35.84,139.99,-4.74,144.58275588741557,-37.423983892963896,142.80593582559186,-4.813348716008454,147.70666269097606,3.231699178630461
31,118.6,82.7,-4.17,144.64660002917455,122.13966701291628,86.27061364872871,-4.599910329822743,149.60573589403813,5.046122004322104
32,38.39,139.53,-4.1,144.7730050803671,41.125910599298905,142.75943469766904,-4.489600512177924,148.63294799800786,4.25044042811496
33,-108.81,-95.31,-6.08,144.77768681671913,-112.62877509149523,-99.10892558449277,-6.325634973582169,150.15936123646154,5.3921438534394435
34,105.9,95.21,26.38,144.82975695622775,108.42972729373231,96.73601600955367,30.568690812707533,148.49009196709622,5.125756116567467
35,-144.21,12.5,-5.16,144.8426722343937,-147.2934941442071,12.566092803332932,-5.356861999483126,147.92557613892552,3.0904787724319256
36,19.4,143.6,-4.09,144.96222990834545,21.12488632448823,146.3773623622891,-4.70061561118973,147.9685399721427,3.3259323427416856
37,-72.64,122.8,25.82,144.99338605605428,-73.85547117561826,123.0880458191564,30.012413990182292,146.64938676881474,4.374548621031493
38,0.99,144.94,-4.23,145.00509163474226,1.719790223861613,147.96478647478938,-4.770829658917856,148.051668449155,3.1582311044123976
39,-138.17,-43.72,-5.22,145.01598429138767,-141.2734405827025,-46.21981531322878,-5.472022877301258,148.7427288173545,3.992985797783565
40,-127.05,65.12,25.63,145.04900482250818,-127.73054107145148,65.81749740265263,29.748353784965712,146.73785687296044,4.232077111157229
41,-17.18,143.97,-4.47,145.06031228423575,-17.725319855752602,146.53259299522404,-4.898563087495227,147.68203578707494,2.654792444657921
42,90.83,109.93,26.78,145.09259870854888,93.41289002205286,110.87469999129513,30.80451621495748,148.21634639832888,4.874475326025247
43,129.29,65.77,-4.43,145.12484935392698,132.76533872322648,69.1445244118556,-4.671800213480382,149.76456903977467,4.850140368134314
44,-135.0,46.84,25.38,145.1314231998019,-135.200854600872,47.19981077989953,29.793747497289676,146.26947942888395,4.432941837860524
45,-94.69,-109.86,-5.79,145.15143747135264,-98.62363173569614,-113.58069960104952,-5.941035965224788,150.5406654925577,5.416629580847968
46,-54.55,131.94,26.22,145.15975509761648,-55.934259701410035,131.87555989040416,30.178774274897982,146.39181371062932,4.194308191855551
47,118.33,79.95,26.56,145.2564112182316,120.4587281225135,81.67467730434258,30.50532309149326,148.69980776913772,4.803287365957216
48,74.3,121.96,26.76,145.29566132545045,77.01480635452276,122.89544637138546,30.601025433278558,148.22615792839966,4.795697012467337
49,56.56,131.47,26.26,145.50938835690292,59.34635365368452,132.1543022673961,30.22864571424118,147.98824386243524,4.897160920546654
50,-140.71,28.15,25.12,145.68026976910772,-141.01940516037607,28.300457323072244,29.65194375825358,146.85580099241557,4.544984399016896
51,38.72,138.02,26.56,145.78817647532327,41.215350293339675,138.30216445808844,30.43554576600506,147.48734264223972,4.618034739180564
52,-143.34,-10.31,25.18,145.899568539458,-143.66074707909524,-11.866025297543873,29.82072395898948,147.2022023786464,4.905141412730484
53,-79.92,-122.04,-5.65,145.98935063901067,-83.35356791283853,-125.89144500682121,-5.97706928489869,151.10327119868106,5.170105566597889
54,-116.61,-84.24,24.88,145.99069867631977,-117.07712511666882,-86.9234285838455,29.520631846001077,148.7756813694434,5.3809347486604375
55,-143.58,9.05,24.86,145.99704962772367,-143.69449181382365,8.412135184377323,29.45841364678765,146.92402502851095,4.643854860501659
56,137.57,48.77,-4.16,146.01822968383092,140.98309879925154,51.319972908218055,-4.715194073190076,150.10731768134292,4.296492255899427
57,128.99,63.49,26.25,146.1453478561668,130.8915616477663,65.11445396653934,30.66148850519494,149.37409381584808,5.071096352972221
58,-135.55,-49.0,24.65,146.22730593155302,-135.74053914609533,-51.50677997244455,29.293964903646284,148.11002238396466,5.280782235875882
59,-36.6,139.22,25.86,146.25494179685006,-36.8172948093567,139.04868413806437,30.225054331396596,146.9816439795873,4.373815894018437
60,-104.27,-99.51,25.51,146.3736079353105,-105.0891206499691,-102.18067208016745,29.824061904381907,149.57970348351034,5.139511466455832
61,1.02,144.05,26.23,146.42218342860485,1.976726437921489,143.98471061308885,30.372560614603184,147.166561337938,4.25210496421745
62,74.1,121.51,-34.65,146.47905174460956,76.86701077687873,123.10972431461722,-39.93560931371141,150.53037719294815,6.1768221877704566
63,-18.4,142.95,26.17,146.4859426702781,-18.45885186290252,142.79039321242806,30.17420372067274,147.1064518504646,4.007815527822547
64,136.78,45.23,26.76,146.528560014763,138.43106582852567,46.70715822616262,30.64598900126802,149.2779128265506,4.473133724048622
65,141.59,26.52,27.13,146.58470384047578,143.21310339847514,27.1971882349781,30.851141682633028,149.0015871594429,4.1158163187833425
66,-89.66,-113.4,25.15,146.73444755748392,-90.66610272749124,-115.57621317882251,29.907324633894678,149.90880995894065,5.327314911867631
67,-128.22,-66.83,25.2,146.77076445941134,-128.09487525895904,-69.34069304641355,29.727978953024653,148.6612979641867,5.178979549405864
68,90.4,110.36,-34.61,146.79694036321058,92.98141151477907,112.28886245174071,-39.77455838108145,151.11699776132627,6.087434520220136
69,144.29,6.72,26.95,146.93898393550978,146.1684037787406,7.2376487494262385,30.64118171716611,149.52079400427695,4.173869122638004
70,19.77,143.24,26.26,146.9630501180484,21.53992114892572,143.1902091632821,30.295878507229673,147.93662311223423,4.407200395483965
71,118.12,80.61,-34.65,147.14254653226578,120.19603021530037,83.09515376190994,-39.80287654726183,151.44688586983037,6.085887559468729
72,-62.84,-133.04,-5.38,147.23264447805045,-66.08831853722576,-136.67515577410558,-6.030418000523628,151.93462407961815,4.918228786535129
73,106.09,96.19,-34.34,147.26452322266894,108.20551503764699,98.45470180407634,-39.614648720289374,151.56213968245487,6.117695420527851
74,127.62,-68.36,27.09,147.28822797494715,130.22792287931637,-70.13328091740173,30.54838524174644,151.03374732349891,4.680407614387071
75,144.17,30.02,-4.37,147.3271400659091,146.89401095365832,32.20422172478789,-4.538915327805913,150.4512017343357,3.495653387659276
76,-92.26,98.47,59.17,147.34088841865994,-88.96622569110004,94.14152684829867,64.68697581066706,144.78266895791953,7.747364140044937
