,0
A_0_0,-4.4188892995508463e-07
A_1_0,-2.7414648717648493e-05
A_1_1,9.68027524187646e-06
B_1_1,-0.00277473883087384
A_2_0,-2.1042324899399898e-05
A_2_1,-8.122677290786715e-06
B_2_1,4.919508774232982e-05
A_2_2,1.0912812287530065e-07
B_2_2,-3.7314676752160268e-06
A_3_0,1.793205017023192e-05
A_3_1,-1.3157664190174834e-05
B_3_1,-0.00287450149422905
A_3_2,1.6741489613787686e-05
B_3_2,3.117576965429368e-05
A_3_3,2.9566185028014145e-06
B_3_3,0.0007005681485780409
A_4_0,-0.0003996371180641223
A_4_1,-4.313402791424753e-05
B_4_1,-0.0014757836807734346
A_4_2,-5.998641789206269e-05
B_4_2,-0.0006322464039286296
A_4_3,-4.8139793047895577e-05
B_4_3,6.387303118842932e-05
A_4_4,0.0001328751845800745
B_4_4,0.00014783878339470063
A_5_0,0.0026922465955327504
A_5_1,-0.0010744713539726503
B_5_1,0.11106160225011097
A_5_2,0.0016333227876861034
B_5_2,0.0020646968986247002
A_5_3,0.0005017418524801698
B_5_3,-0.004083093284504624
A_5_4,-0.0003550622716038121
B_5_4,0.0002849538739359142
A_5_5,0.0011769200366473082
B_5_5,0.0027018175562000257
A_6_0,-0.0241276984957004
A_6_1,0.007087787757746322
B_6_1,-0.0005197135060979186
A_6_2,0.004527259434885966
B_6_2,-0.002148058817195597
A_6_3,0.0057192162674029046
B_6_3,0.0030196959537596157
A_6_4,0.00267487900804797
B_6_4,0.0029264621292487414
A_6_5,-0.0029639254228345235
B_6_5,-0.0013042358761518602
A_6_6,-0.0047631759010584585
B_6_6,-0.002663668351515297
A_7_0,0.03381796993924269
A_7_1,-0.01648547983367621
B_7_1,0.0017250133082757912
A_7_2,0.016580334525695406
B_7_2,0.012174499310267622
A_7_3,0.035326924174770014
B_7_3,-0.0866417539136286
A_7_4,-0.044307036323230964
B_7_4,-0.004506404953535714
A_7_5,-0.014733869638495545
B_7_5,0.08121576028750521
A_7_6,0.024421593940870068
B_7_6,0.02843912856269648
A_7_7,-0.013886248595825434
B_7_7,-0.012453298838281945
A_8_0,-0.963106572816514
A_8_1,-0.09893812137835312
B_8_1,0.33537934137859793
A_8_2,-0.2546148490336151
B_8_2,0.07013610508133183
A_8_3,0.21261483854263474
B_8_3,0.16628681416724334
A_8_4,-0.11759124503474272
B_8_4,0.034691432270363975
A_8_5,0.27831494528427037
B_8_5,-0.3263316475546745
A_8_6,-0.346716097273557
B_8_6,0.001956383835970854
A_8_7,-0.002837352232263335
B_8_7,0.26157337734207786
A_8_8,-0.09604665192426154
B_8_8,-0.07473020048139034
